https://data.cdc.gov/NCHS/Weekly-Counts-of-Deaths-by-State-and-Select-Causes/muzy-jte6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
District of Columbia,2019,33,8/17/2019,122,99,,31,0,,,,,,,24,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2019,34,8/24/2019,116,99,,23,,0,0,,0,0,0,36,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
District of Columbia,2019,35,8/31/2019,118,104,,29,,,,,,0,,25,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2019,36,9/7/2019,121,105,,28,,,,,,0,,24,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2019,37,9/14/2019,111,94,0,25,,,,,,,,18,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2019,38,9/21/2019,120,103,,27,,,,,,0,,35,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
District of Columbia,2019,39,9/28/2019,116,98,0,27,,,0,,0,0,0,24,10,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,,,
District of Columbia,2019,40,10/5/2019,96,80,,19,,0,0,,,0,0,23,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
District of Columbia,2019,41,10/12/2019,127,110,,32,,0,,0,,,,23,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2019,42,10/19/2019,129,110,,18,,,,,,,0,37,12,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
District of Columbia,2019,43,10/26/2019,130,109,,21,,0,,,,0,0,34,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
District of Columbia,2019,44,11/2/2019,138,120,,32,,,,,0,,0,25,10,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
District of Columbia,2019,45,11/9/2019,140,122,,33,,0,,,0,0,,31,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,
District of Columbia,2019,46,11/16/2019,105,92,,21,,,,,,,0,21,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2019,47,11/23/2019,122,109,0,24,,,,,0,0,0,32,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
District of Columbia,2019,48,11/30/2019,119,96,0,18,,,0,,,,0,31,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2019,49,12/7/2019,136,111,,23,,,0,,,0,0,34,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
District of Columbia,2019,50,12/14/2019,123,107,,21,,,,,0,,0,24,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2019,51,12/21/2019,123,105,,22,,,,,,,,37,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2019,52,12/28/2019,156,133,,33,,,,,0,,,29,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,1,1/4/2020,131,109,,20,0,0,,,,0,,32,,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,2,1/11/2020,128,102,,21,,,,,0,0,,25,16,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,
District of Columbia,2020,3,1/18/2020,139,120,,28,,,,,0,,,33,11,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
District of Columbia,2020,4,1/25/2020,131,116,,32,,,,,,,,26,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,5,2/1/2020,143,117,,25,,,,,,0,,41,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,6,2/8/2020,131,113,,20,,,,,,,,33,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,7,2/15/2020,121,104,,18,,,,,0,,,30,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,8,2/22/2020,103,88,,20,,,,0,,0,,23,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,9,2/29/2020,134,116,,25,,,0,,,,,26,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,10,3/7/2020,118,102,,23,,0,,,,,0,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,11,3/14/2020,114,102,0,32,,,,,,,,19,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,12,3/21/2020,128,111,,29,,,,,0,,,22,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,13,3/28/2020,130,116,,21,,,,,,0,,34,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,14,4/4/2020,155,141,,22,,,0,,,0,,31,,25,25,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,15,4/11/2020,188,169,,35,,,,,0,,,36,10,37,37,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
District of Columbia,2020,16,4/18/2020,196,171,,22,,,,,,,,35,,56,56,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,17,4/25/2020,232,220,,26,,,,,0,,12,32,11,85,85,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
District of Columbia,2020,18,5/2/2020,207,185,,24,,,,,0,,,30,,73,73,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,19,5/9/2020,191,175,,17,,,,,,,17,21,,77,77,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,20,5/16/2020,162,154,,15,,0,,,,,11,17,,58,58,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,21,5/23/2020,162,155,,31,,,,,,,15,29,,42,40,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,22,5/30/2020,158,148,,22,,0,,,,0,16,29,,39,38,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,
District of Columbia,2020,23,6/6/2020,122,116,,17,,0,,,,,14,19,,27,25,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
District of Columbia,2020,24,6/13/2020,101,97,,14,0,,0,,0,0,,20,,20,20,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
District of Columbia,2020,25,6/20/2020,63,60,,16,,,0,,0,,,13,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
District of Columbia,2020,26,6/27/2020,17,16,0,,0,0,0,0,,0,,,,0,0,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Florida,2019,1,1/5/2019,4220,3805,52,893,136,134,60,259,44,69,62,979,252,0,0,,,,,,,,,,,,,,,
Florida,2019,2,1/12/2019,4202,3842,42,936,99,116,68,276,67,81,50,976,269,0,0,,,,,,,,,,,,,,,
Florida,2019,3,1/19/2019,4201,3817,51,842,113,134,69,251,54,72,56,969,309,0,0,,,,,,,,,,,,,,,
Florida,2019,4,1/26/2019,4180,3841,54,878,135,145,73,236,68,72,59,976,263,0,0,,,,,,,,,,,,,,,
Florida,2019,5,2/2/2019,4342,3990,58,914,129,143,66,253,70,55,59,1034,274,0,0,,,,,,,,,,,,,,,
Florida,2019,6,2/9/2019,4327,3915,53,909,144,147,71,263,51,63,60,975,265,0,0,,,,,,,,,,,,,,,
Florida,2019,7,2/16/2019,4282,3902,52,929,144,130,66,250,67,83,75,994,257,0,0,,,,,,,,,,,,,,,
Florida,2019,8,2/23/2019,4165,3786,54,884,123,126,68,262,73,71,53,949,293,0,0,,,,,,,,,,,,,,,
Florida,2019,9,3/2/2019,4289,3896,54,926,139,124,63,275,52,70,40,1017,267,0,0,,,,,,,,,,,,,,,
Florida,2019,10,3/9/2019,4157,3813,54,944,132,120,60,255,53,67,46,975,249,0,0,,,,,,,,,,,,,,,
Florida,2019,11,3/16/2019,4193,3831,54,930,109,118,77,252,56,75,60,954,280,0,0,,,,,,,,,,,,,,,
Florida,2019,12,3/23/2019,4190,3808,59,878,107,116,70,265,70,78,57,1009,293,0,0,,,,,,,,,,,,,,,
Florida,2019,13,3/30/2019,4354,3967,59,922,139,153,42,257,50,64,55,1006,319,0,0,,,,,,,,,,,,,,,
Florida,2019,14,4/6/2019,4224,3824,58,861,123,132,63,235,50,74,49,949,308,0,0,,,,,,,,,,,,,,,
Florida,2019,15,4/13/2019,4277,3881,66,915,115,112,51,280,70,66,58,993,282,0,0,,,,,,,,,,,,,,,
Florida,2019,16,4/20/2019,4102,3721,51,910,122,138,50,254,55,68,62,892,261,0,0,,,,,,,,,,,,,,,
Florida,2019,17,4/27/2019,4122,3746,47,859,113,138,50,248,45,56,55,999,284,0,0,,,,,,,,,,,,,,,
Florida,2019,18,5/4/2019,4070,3693,45,908,104,146,53,229,60,59,49,947,295,0,0,,,,,,,,,,,,,,,
Florida,2019,19,5/11/2019,4126,3755,48,870,137,128,46,243,65,58,63,946,279,0,0,,,,,,,,,,,,,,,
Florida,2019,20,5/18/2019,4097,3729,41,935,123,141,41,218,37,58,69,987,274,0,0,,,,,,,,,,,,,,,
Florida,2019,21,5/25/2019,3944,3592,37,912,105,134,55,238,51,49,74,880,212,0,0,,,,,,,,,,,,,,,
Florida,2019,22,6/1/2019,3970,3603,57,849,111,101,40,233,57,62,53,933,241,0,0,,,,,,,,,,,,,,,
Florida,2019,23,6/8/2019,3996,3594,51,880,133,127,47,234,56,61,50,883,268,0,0,,,,,,,,,,,,,,,
Florida,2019,24,6/15/2019,3863,3501,43,875,114,118,51,223,59,54,63,921,204,0,0,,,,,,,,,,,,,,,
Florida,2019,25,6/22/2019,3946,3578,45,836,124,132,45,233,52,64,63,943,278,0,0,,,,,,,,,,,,,,,
Florida,2019,26,6/29/2019,3860,3517,38,866,118,101,50,230,63,49,62,906,247,0,0,,,,,,,,,,,,,,,
Florida,2019,27,7/6/2019,3906,3508,33,825,121,114,56,221,59,60,70,883,296,0,0,,,,,,,,,,,,,,,
Florida,2019,28,7/13/2019,3904,3538,42,866,131,122,37,231,55,69,70,890,263,0,0,,,,,,,,,,,,,,,
Florida,2019,29,7/20/2019,3789,3429,38,863,88,107,45,229,49,60,59,857,247,0,0,,,,,,,,,,,,,,,
Florida,2019,30,7/27/2019,3866,3528,48,859,133,123,44,209,53,66,53,849,252,0,0,,,,,,,,,,,,,,,
Florida,2019,31,8/3/2019,3899,3565,51,878,119,148,42,214,61,43,63,886,277,0,0,,,,,,,,,,,,,,,
Florida,2019,32,8/10/2019,3700,3372,46,829,119,108,52,194,46,58,63,841,260,0,0,,,,,,,,,,,,,,,
Florida,2019,33,8/17/2019,3659,3317,33,867,109,107,33,193,55,59,53,836,237,0,0,,,,,,,,,,,,,,,
Florida,2019,34,8/24/2019,3785,3411,37,851,103,116,52,213,35,47,54,860,245,0,0,,,,,,,,,,,,,,,
Florida,2019,35,8/31/2019,3722,3363,50,862,113,105,44,220,48,60,53,816,244,0,0,,,,,,,,,,,,,,,
Florida,2019,36,9/7/2019,3723,3347,46,848,118,130,41,175,56,57,60,822,271,0,0,,,,,,,,,,,,,,,
Florida,2019,37,9/14/2019,3717,3356,40,813,114,118,33,207,51,49,52,835,275,0,0,,,,,,,,,,,,,,,
Florida,2019,38,9/21/2019,3801,3420,50,800,97,119,48,221,39,59,56,828,267,0,0,,,,,,,,,,,,,,,
Florida,2019,39,9/28/2019,3744,3383,53,824,101,116,50,192,40,62,61,852,284,0,0,,,,,,,,,,,,,,,
Florida,2019,40,10/5/2019,3832,3453,34,861,107,140,30,225,52,58,59,827,262,0,0,,,,,,,,,,,,,,,
Florida,2019,41,10/12/2019,3862,3462,55,921,102,122,33,199,49,57,71,857,246,0,0,,,,,,,,,,,,,,,
Florida,2019,42,10/19/2019,3753,3382,39,827,119,125,43,206,58,61,57,838,276,0,0,,,,,,,,,,,,,,,
Florida,2019,43,10/26/2019,3727,3373,48,841,95,118,43,198,45,66,44,823,264,0,0,,,,,,,,,,,,,,,
Florida,2019,44,11/2/2019,3886,3484,42,854,123,110,53,236,56,56,49,842,257,0,0,,,,,,,,,,,,,,,
Florida,2019,45,11/9/2019,3992,3591,43,891,104,118,53,218,54,71,60,890,280,0,0,,,,,,,,,,,,,,,
Florida,2019,46,11/16/2019,4090,3681,61,920,132,135,43,197,51,73,53,897,290,0,0,,,,,,,,,,,,,,,
Florida,2019,47,11/23/2019,4055,3692,40,806,117,129,38,222,49,62,57,1009,319,0,0,,,,,,,,,,,,,,,
Florida,2019,48,11/30/2019,4045,3622,62,822,108,121,39,218,57,58,62,955,283,0,0,,,,,,,,,,,,,,,
Florida,2019,49,12/7/2019,4219,3877,61,886,135,112,66,262,67,82,66,1006,305,0,0,,,,,,,,,,,,,,,
Florida,2019,50,12/14/2019,4331,3954,59,896,136,143,66,224,66,75,74,957,319,0,0,,,,,,,,,,,,,,,
Florida,2019,51,12/21/2019,4149,3791,66,840,144,118,71,238,60,72,65,983,305,0,0,,,,,,,,,,,,,,,
Florida,2019,52,12/28/2019,4309,3906,56,843,145,133,94,275,52,56,70,1015,291,0,0,,,,,,,,,,,,,,,
Florida,2020,1,1/4/2020,4341,3934,60,873,136,127,86,265,58,75,63,1013,277,0,0,,,,,,,,,,,,,,,
Florida,2020,2,1/11/2020,4407,4003,54,895,131,124,87,288,63,54,74,1019,315,0,0,,,,,,,,,,,,,,,
Florida,2020,3,1/18/2020,4385,4003,54,867,121,129,76,287,66,73,85,998,345,0,0,,,,,,,,,,,,,,,
Florida,2020,4,1/25/2020,4390,4020,54,930,124,144,89,282,55,66,77,1002,301,0,0,,,,,,,,,,,,,,,
Florida,2020,5,2/1/2020,4420,4050,55,888,153,141,76,268,66,69,94,993,313,0,0,,,,,,,,,,,,,,,
Florida,2020,6,2/8/2020,4384,4024,46,878,160,142,79,255,65,76,82,1056,289,0,0,,,,,,,,,,,,,,,
Florida,2020,7,2/15/2020,4358,3963,54,883,129,122,87,285,64,77,78,1014,297,0,0,,,,,,,,,,,,,,,
Florida,2020,8,2/22/2020,4413,4001,66,925,135,126,78,251,60,68,100,951,327,0,0,,,,,,,,,,,,,,,
Florida,2020,9,2/29/2020,4398,4009,49,884,120,127,79,263,59,73,95,1038,297,0,0,,,,,,,,,,,,,,,
Florida,2020,10,3/7/2020,4519,4130,45,925,149,131,90,286,42,65,110,1002,310,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Florida,2020,11,3/14/2020,4435,4016,49,927,124,127,85,272,65,80,92,977,329,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Florida,2020,12,3/21/2020,4362,3932,62,890,131,129,100,276,60,61,98,946,276,17,16,,,,,,,,,,,,,,,
Florida,2020,13,3/28/2020,4462,4065,60,934,149,129,86,248,74,43,113,956,303,92,91,,,,,,,,,,,,,,,
Florida,2020,14,4/4/2020,4495,4136,63,881,138,124,91,257,57,51,119,969,312,216,209,,,,,,,,,,,,,,,
Florida,2020,15,4/11/2020,4543,4164,50,912,150,132,72,234,50,63,137,932,279,300,284,,,,,,,,,,,,,,,
Florida,2020,16,4/18/2020,4411,4083,54,847,163,150,60,225,41,59,143,894,296,307,294,,,,,,,,,,,,,,,
Florida,2020,17,4/25/2020,4548,4183,50,864,146,158,58,254,37,56,151,919,314,318,283,,,,,,,,,,,,,,,
Florida,2020,18,5/2/2020,4339,3977,52,859,156,143,49,204,50,48,174,832,296,302,272,,,,,,,,,,,,,,,
Florida,2020,19,5/9/2020,4404,4042,57,859,136,119,60,214,52,69,179,913,257,289,254,,,,,,,,,,,,,,,
Florida,2020,20,5/16/2020,4271,3950,47,864,130,132,57,233,38,57,189,876,292,256,217,,,,,,,,,,,,,,,
Florida,2020,21,5/23/2020,4346,4009,44,865,149,133,53,214,40,57,231,925,260,231,195,,,,,,,,,,,,,,,
Florida,2020,22,5/30/2020,4187,3867,46,820,134,131,44,186,44,70,206,860,268,226,190,,,,,,,,,,,,,,,
Florida,2020,23,6/6/2020,4206,3940,41,879,111,141,48,201,43,70,285,857,279,203,158,,,,,,,,,,,,,,,
Florida,2020,24,6/13/2020,4058,3819,37,805,117,116,42,189,48,48,300,866,290,161,135,,,,,,,,,,,,,,,
Florida,2020,25,6/20/2020,3571,3377,27,754,97,112,34,185,35,47,255,715,258,140,124,,,,,,,,,,,,,,,
Florida,2020,26,6/27/2020,1208,1169,10,265,28,49,11,54,13,,92,256,93,35,31,,,,,,,,,,Suppressed (counts 1-9),,,,,
Georgia,2019,1,1/5/2019,1803,1640,34,324,64,75,51,110,29,38,18,437,83,0,0,,,,,,,,,,,,,,,
Georgia,2019,2,1/12/2019,1743,1613,33,344,44,78,37,127,30,32,19,422,83,0,0,,,,,,,,,,,,,,,
Georgia,2019,3,1/19/2019,1796,1658,35,357,57,104,33,99,43,61,24,396,96,0,0,,,,,,,,,,,,,,,
Georgia,2019,4,1/26/2019,1731,1617,33,345,65,81,38,96,36,38,29,411,94,0,0,,,,,,,,,,,,,,,
Georgia,2019,5,2/2/2019,1761,1628,36,357,46,103,19,97,40,38,20,418,89,0,0,,,,,,,,,,,,,,,
Georgia,2019,6,2/9/2019,1671,1538,28,360,47,84,16,119,35,49,18,356,98,0,0,,,,,,,,,,,,,,,
Georgia,2019,7,2/16/2019,1646,1545,37,326,40,90,43,111,39,42,23,382,82,0,0,,,,,,,,,,,,,,,
Georgia,2019,8,2/23/2019,1714,1590,49,352,55,68,45,97,54,44,20,354,111,0,0,,,,,,,,,,,,,,,
Georgia,2019,9,3/2/2019,1695,1558,36,353,50,71,45,97,31,34,21,374,89,0,0,,,,,,,,,,,,,,,
Georgia,2019,10,3/9/2019,1717,1567,32,315,53,88,43,96,33,41,23,408,100,0,0,,,,,,,,,,,,,,,
Georgia,2019,11,3/16/2019,1706,1550,35,354,38,76,29,104,46,29,23,397,71,0,0,,,,,,,,,,,,,,,
Georgia,2019,12,3/23/2019,1692,1543,37,344,53,77,30,94,33,48,24,395,65,0,0,,,,,,,,,,,,,,,
Georgia,2019,13,3/30/2019,1685,1546,37,353,49,85,33,105,40,28,22,384,88,0,0,,,,,,,,,,,,,,,
Georgia,2019,14,4/6/2019,1654,1484,38,325,45,81,31,87,25,28,11,385,102,0,0,,,,,,,,,,,,,,,
Georgia,2019,15,4/13/2019,1654,1497,42,311,43,78,27,84,46,40,18,383,88,0,0,,,,,,,,,,,,,,,
Georgia,2019,16,4/20/2019,1644,1512,45,326,46,78,29,99,35,43,20,371,80,0,0,,,,,,,,,,,,,,,
Georgia,2019,17,4/27/2019,1749,1586,25,354,64,86,37,98,38,40,20,405,87,0,0,,,,,,,,,,,,,,,
Georgia,2019,18,5/4/2019,1713,1557,53,352,38,74,28,105,47,52,23,370,73,0,0,,,,,,,,,,,,,,,
Georgia,2019,19,5/11/2019,1639,1505,25,355,47,72,18,93,35,49,21,366,86,0,0,,,,,,,,,,,,,,,
Georgia,2019,20,5/18/2019,1560,1429,28,322,50,74,13,99,25,38,22,367,88,0,0,,,,,,,,,,,,,,,
Georgia,2019,21,5/25/2019,1578,1434,24,351,43,66,17,88,34,36,20,379,73,0,0,,,,,,,,,,,,,,,
Georgia,2019,22,6/1/2019,1624,1451,30,317,50,84,22,82,41,39,17,383,80,0,0,,,,,,,,,,,,,,,
Georgia,2019,23,6/8/2019,1619,1465,32,333,46,84,19,87,30,39,25,360,81,0,0,,,,,,,,,,,,,,,
Georgia,2019,24,6/15/2019,1575,1435,25,345,44,77,15,78,33,35,24,383,82,0,0,,,,,,,,,,,,,,,
Georgia,2019,25,6/22/2019,1591,1459,39,342,51,64,22,89,33,48,26,358,81,0,0,,,,,,,,,,,,,,,
Georgia,2019,26,6/29/2019,1515,1401,33,336,38,85,22,85,30,30,15,349,89,0,0,,,,,,,,,,,,,,,
Georgia,2019,27,7/6/2019,1529,1379,34,343,34,90,16,71,21,25,18,354,79,0,0,,,,,,,,,,,,,,,
Georgia,2019,28,7/13/2019,1589,1458,28,326,43,89,17,89,23,49,24,388,80,0,0,,,,,,,,,,,,,,,
Georgia,2019,29,7/20/2019,1628,1467,43,317,42,85,23,84,29,42,23,369,78,0,0,,,,,,,,,,,,,,,
Georgia,2019,30,7/27/2019,1621,1482,31,371,34,89,24,64,26,37,18,356,84,0,0,,,,,,,,,,,,,,,
